replication,financial_cost,quality_loss,extra_staff_hours,ambulance_diversions,high_acuity_waiting_cost,avg_wait_time,avg_utilization
1,876150,12220,0,3,806250,5.327868852459017,0.45901639344262296
2,1020100,14200,0,8,922500,6.875,0.535
3,955850,11300,0,1,903750,6.8125,0.5375
4,920750,11940,0,4,851250,6.0964912280701755,0.5
5,867550,11060,0,2,810000,7.394366197183099,0.5845070422535211
6,879250,11660,0,2,817500,6.919014084507042,0.5669014084507042
7,906600,11440,0,0,855000,6.011029411764706,0.5183823529411765
8,926800,12240,0,2,862500,7.145833333333333,0.5541666666666667
9,882950,10700,0,1,832500,7.427536231884058,0.5833333333333334
10,924800,11480,0,1,870000,7.007575757575758,0.5568181818181818
11,932250,11500,0,0,881250,6.286231884057971,0.5471014492753623
12,834000,11360,0,0,780000,6.469594594594595,0.543918918918919
13,935400,13480,0,9,836250,6.361607142857143,0.5089285714285714
14,830500,11920,0,5,753750,5.482142857142857,0.4928571428571429
15,934550,11820,0,1,877500,7.24609375,0.55859375
16,923350,12260,0,2,858750,6.50390625,0.5234375
17,855450,11860,0,3,787500,5.946969696969697,0.48863636363636365
18,945900,11880,0,0,892500,5.2155172413793105,0.47413793103448276
19,995300,15800,0,16,855000,5.636792452830188,0.49528301886792453
20,880700,12800,0,1,813750,6.5,0.5392857142857143
21,855300,11320,0,0,802500,5.696428571428571,0.5142857142857142
22,827850,12980,0,3,750000,6.489726027397261,0.5513698630136986
23,954500,12600,0,4,881250,6.113636363636363,0.509090909090909
24,816500,11440,0,1,757500,6.091549295774648,0.5352112676056338
25,930500,11800,0,4,862500,6.926229508196721,0.5614754098360656
26,767950,11740,0,5,690000,5.850694444444445,0.5138888888888888
27,987400,12160,0,2,926250,6.916666666666667,0.5416666666666666
28,1017750,12340,0,0,963750,6.886792452830188,0.5566037735849056
29,779050,12220,0,2,708750,6.298701298701299,0.5357142857142857
30,888050,12900,0,7,798750,7.0436507936507935,0.5555555555555556
